"edad","contribucion","porcentaje"
"edad_0",0.357643018031629,79.4762262292505
"edad_1",-0.0692782680353779,-15.3951706745283
"edad_5",-0.0216224849706757,-4.80499666015012
"edad_10",0.0138608225005241,3.08018277789424
"edad_15",-0.0350862323890359,-7.79694053089682
"edad_20",-0.191511728851329,-42.5581619669617
"edad_25",-0.135046533637945,-30.0103408084319
"edad_30",-0.00613298613994579,-1.36288580887683
"edad_35",-0.0615044431414049,-13.6676540314232
"edad_40",-0.0514888765768725,-11.4419725726383
"edad_45",-0.137937098740591,-30.6526886090199
"edad_50",-0.0902814525570458,-20.0625450126767
"edad_55",0.101643331684061,22.5874070409022
"edad_60",0.0155137903691955,3.4475089709323
"edad_65",0.136062581259662,30.2361291688137
"edad_70",0.298396486058389,66.3103302351972
"edad_75",0.247038723111318,54.897494024737
"edad_80",0.0499473582579075,11.0994129462016
"edad_85",0.0323339800723847,7.18532890497433
