"edad","contribucion","porcentaje"
"edad_0",0.28362368508198,-13.0702159023954
"edad_1",0.0123668806023498,-0.569902331905519
"edad_5",0.0177220841770887,-0.816685906778279
"edad_10",-0.0110300713837824,0.508298220450803
"edad_15",-0.215345521302589,9.92375674205479
"edad_20",-0.656635276356257,30.2596901546662
"edad_25",-0.691165477143717,31.8509436471759
"edad_30",-0.511895489217536,23.5896538809924
"edad_35",-0.234858243145462,10.8229605136157
"edad_40",-0.323323356312303,14.8996938392766
"edad_45",-0.184179578762863,8.48753819183699
"edad_50",-0.133137575699716,6.13537215206062
"edad_55",-0.19156278572552,8.82777814403318
"edad_60",-0.0110635091535874,0.509839131501722
"edad_65",0.319725103295923,-14.7338757279227
"edad_70",0.205817390159914,-9.48467235759972
"edad_75",0.105797623057208,-4.87546650033218
"edad_80",0.218144501891536,-10.0527420226514
"edad_85",-0.168219597114034,7.75205516654534
